127.0.0.1 - - [01/Sep/2020:17:39:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:30 +0900] "GET /hanacard-spring-mvc/WEB-INF/classes/kr/co/hanacard/mypage/dao/MypageDAOImpl.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:51 +0900] "GET /hanacard-spring-mvc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:52 +0900] "GET /hanacard-spring-mvc/ HTTP/1.1" 200 22585
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:52 +0900] "GET /hanacard-spring-mvc/resources/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:52 +0900] "GET /hanacard-spring-mvc/resources/css/jquery.fancybox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:52 +0900] "GET /hanacard-spring-mvc/resources/fonts/icomoon/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:52 +0900] "GET /hanacard-spring-mvc/resources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:52 +0900] "GET /hanacard-spring-mvc/resources/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:52 +0900] "GET /hanacard-spring-mvc/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:52 +0900] "GET /hanacard-spring-mvc/resources/css/bootstrap-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:52 +0900] "GET /hanacard-spring-mvc/resources/css/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:52 +0900] "GET /hanacard-spring-mvc/resources/fonts/flaticon/font/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:52 +0900] "GET /hanacard-spring-mvc/resources/css/jquery.mb.YTPlayer.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:52 +0900] "GET /hanacard-spring-mvc/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2020:17:39:52 +0900] "GET /hanacard-spring-mvc/resources/images/hanacard_logo_down.png HTTP/1.1" 304 -
