127.0.0.1 - - [27/Sep/2020:21:56:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/index.jsp HTTP/1.1" 200 24594
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/fonts/icomoon/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/css/jquery.fancybox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/css/jquery.mb.YTPlayer.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/css/bootstrap-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/css/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/fonts/flaticon/font/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/js/jquery.stellar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/js/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/js/bootstrap-datepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:21:56:49 +0900] "GET /hanacard-spring-mvc/resources/js/jquery.countdown.min.js HTTP/1.1" 304 -
